group,model,split,tag,bucket_group,bucket,rollouts,success_0p5cm,success_1cm,success_2cm,success_5cm,mean_best_cm,mean_final_cm,metrics_path
Edge-balanced visual-only,Frozen ResNet18,OOD,frozen,corner,lower_right_corner,6,0.0,0.3333333333333333,0.5,1.0,1.696116306508581,8.009759585062664,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Frozen ResNet18,OOD,frozen,corner,upper_left_corner,2,0.0,0.0,0.0,0.0,23.6146442592144,29.317322373390198,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Frozen ResNet18,OOD,frozen,corner,upper_right_corner,6,0.0,0.0,0.0,0.5,4.920798850556215,9.554091095924377,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Frozen ResNet18,OOD,frozen,edge,left_edge,21,0.0,0.047619047619047616,0.047619047619047616,0.14285714285714285,14.876245387962886,30.0229070796853,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Frozen ResNet18,OOD,frozen,edge,lower_edge,10,0.0,0.1,0.3,1.0,2.4819028098136187,6.649850830435752,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Frozen ResNet18,OOD,frozen,edge,right_edge,20,0.05,0.3,0.8,1.0,1.4217222749721259,9.50907800346613,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Frozen ResNet18,OOD,frozen,edge,upper_edge,13,0.0,0.0,0.07692307692307693,0.23076923076923078,13.69569837473906,19.03785037306639,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Frozen ResNet18,OOD,frozen,interior,interior,69,0.0,0.014492753623188406,0.08695652173913043,0.42028985507246375,7.475419556452096,13.453575422096511,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Frozen ResNet18,OOD,frozen,corner,all_corner,17,0.0,0.23529411764705882,0.29411764705882354,0.7058823529411765,5.423559588106239,10.818931197418886,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Frozen ResNet18,OOD,frozen,edge,all_edge,64,0.015625,0.125,0.328125,0.5625,8.49529227525636,17.7289558108896,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Frozen ResNet18,OOD,frozen,interior,all_interior,69,0.0,0.014492753623188406,0.08695652173913043,0.42028985507246375,7.475419556452096,13.453575422096511,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Partial ResNet18,ID,partial,corner,lower_left_corner,18,0.0,0.0,0.0,0.0,12.385130218333668,106.3998626338111,results/edge_balanced_partial_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__partial_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Partial ResNet18,ID,partial,corner,lower_right_corner,15,0.0,0.0,0.0,0.0,8.642454991738001,41.65327469507853,results/edge_balanced_partial_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__partial_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Partial ResNet18,ID,partial,corner,upper_left_corner,15,0.0,0.0,0.0,0.0,26.46338959534963,93.51292928059895,results/edge_balanced_partial_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__partial_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Partial ResNet18,ID,partial,corner,upper_right_corner,15,0.0,0.0,0.0,0.0,19.314747154712677,29.96855785449346,results/edge_balanced_partial_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__partial_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Partial ResNet18,ID,partial,edge,left_edge,18,0.0,0.0,0.0,0.0,15.244209269682566,102.03312701649136,results/edge_balanced_partial_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__partial_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Partial ResNet18,ID,partial,edge,lower_edge,18,0.0,0.0,0.0,0.16666666666666666,6.681545140842597,64.10812983910242,results/edge_balanced_partial_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__partial_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Partial ResNet18,ID,partial,edge,right_edge,18,0.0,0.0,0.0,0.1111111111111111,10.375293778876465,31.864468504985172,results/edge_balanced_partial_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__partial_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
