family,family_dir,split,train_config,task,axis,variant,budget,seed,eval_config,rollout_count,success_rate_at_0p5cm,success_rate_at_1cm,success_rate_at_2cm,success_rate_at_5cm,mean_best_distance,mean_final_distance
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,lighting_fixed,reach,lighting_direction_intensity,fixed_train,50,0,lighting_extreme_ood_eval,150,0.0,0.0,0.5866666666666667,0.5866666666666667,0.033937492767969764,0.15040951917568843
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,50,0,avoid_spatial_edge_ood_eval,150,0.0,0.013333333333333334,0.14666666666666667,0.44,0.09393178318316737,0.21537957993646462
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,lighting_diverse,reach,lighting_direction_intensity,diverse_train,5,0,lighting_extreme_ood_eval,150,0.0,0.26666666666666666,0.26666666666666666,1.0,0.022255381991465886,0.3438615214824676
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,spatial_narrow,reach,spatial_distribution,narrow_train,20,2,spatial_edge_ood_eval,150,0.013333333333333334,0.07333333333333333,0.12666666666666668,0.26,0.10060020453607042,0.2308423762023449
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_color_multi,avoid_reach,color,diverse_train,50,0,avoid_color_ood_eval,150,0.0,0.0,0.0,0.72,0.08516177684068679,0.22991339549422263
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,color_red_only,reach,color,fixed_train,20,1,color_ood_eval,150,0.0,0.2733333333333333,1.0,1.0,0.012067721982796986,0.3500282911459605
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,color_multi,reach,color,diverse_train,20,1,color_ood_eval,150,0.0,0.5266666666666666,1.0,1.0,0.009374803236375252,0.31106431702772774
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,20,0,avoid_spatial_edge_ood_eval,150,0.0,0.0,0.0,0.03333333333333333,0.17918467589964468,0.27714524845282235
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_color_multi,avoid_reach,color,diverse_train,5,0,avoid_color_ood_eval,150,0.0,0.0,0.0,0.26,0.15719738910595576,0.36610430081685386
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,5,2,avoid_lighting_extreme_ood_eval,150,0.0,0.0,0.0,0.4866666666666667,0.07876439164082209,0.14818629513184228
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,20,0,avoid_camera_extreme_ood_eval,150,0.0,0.0,0.0,0.2,0.1639211512853702,0.3544705936064323
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_color_red_only,avoid_reach,color,fixed_train,20,2,avoid_color_ood_eval,150,0.0,0.0,0.0,1.0,0.039492711797356604,0.05738909500340621
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,50,0,avoid_lighting_extreme_ood_eval,150,0.0,0.28,0.28,0.7933333333333333,0.03276957713067532,0.34060018179317314
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,camera_fixed,reach,camera_location_viewpoint,fixed_train,50,1,camera_extreme_ood_eval,150,0.02,0.06666666666666667,0.36666666666666664,0.9933333333333333,0.026941901647175352,0.3233033406982819
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,50,1,avoid_lighting_extreme_ood_eval,150,0.0,0.0,0.0,0.0,0.07220044694840907,0.17165580108761788
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,camera_fixed,reach,camera_location_viewpoint,fixed_train,20,0,camera_extreme_ood_eval,150,0.0,0.006666666666666667,0.08666666666666667,0.92,0.03424273479729891,0.312094518840313
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,5,1,avoid_lighting_extreme_ood_eval,150,0.0,0.0,0.72,1.0,0.025318722985684872,0.16377997666597366
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,5,0,avoid_lighting_extreme_ood_eval,150,0.0,0.28,0.28,0.7666666666666667,0.028697211934874456,0.2374988199273745
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,camera_fixed,reach,camera_location_viewpoint,fixed_train,5,0,camera_extreme_ood_eval,150,0.05333333333333334,0.08666666666666667,0.47333333333333333,0.9933333333333333,0.023518892811456076,0.24205170060197512
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,5,2,avoid_spatial_edge_ood_eval,150,0.006666666666666667,0.006666666666666667,0.04,0.13333333333333333,0.1279709006442378,0.3111809996763865
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,50,2,avoid_lighting_extreme_ood_eval,150,0.0,0.0,0.0,0.5133333333333333,0.07301579145093759,0.19222458243370055
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,lighting_fixed,reach,lighting_direction_intensity,fixed_train,20,1,lighting_extreme_ood_eval,150,0.0,0.0,0.0,0.68,0.047434573620557786,0.33558400670687355
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,spatial_narrow,reach,spatial_distribution,narrow_train,20,1,spatial_edge_ood_eval,150,0.0,0.006666666666666667,0.05333333333333334,0.24666666666666667,0.11111246399270991,0.2530868808925152
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,5,1,avoid_spatial_edge_ood_eval,150,0.0,0.006666666666666667,0.04666666666666667,0.22666666666666666,0.13260853385552765,0.32919326131542526
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,50,0,avoid_camera_extreme_ood_eval,150,0.0,0.0,0.0,0.9133333333333333,0.04189369677255551,0.1530981264511744
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,lighting_diverse,reach,lighting_direction_intensity,diverse_train,50,2,lighting_extreme_ood_eval,150,0.0,0.0,0.0,1.0,0.03048803115884463,0.33825063665707905
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,spatial_narrow,reach,spatial_distribution,narrow_train,50,0,spatial_edge_ood_eval,150,0.0,0.06,0.16666666666666666,0.36666666666666664,0.09256529945880175,0.23197283141314984
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,lighting_fixed,reach,lighting_direction_intensity,fixed_train,5,2,lighting_extreme_ood_eval,150,0.0,0.0,0.0,0.41333333333333333,0.08345330730080605,0.30017978469530743
