train_config,task,axis,variant,budget,seed,num_samples,num_episodes,success_rate,trajectory_len_mean,trajectory_len_p50,trajectory_len_p95,action_mag_mean,action_mag_p95,external_brightness_mean,external_contrast_mean,eef_brightness_mean,eef_contrast_mean,flag_count,flags
color_multi,reach,color,diverse_train,20,1,1580,20,1.0,79.0,79.0,79.0,0.19582257264900124,0.4561692338308953,209.08066925048828,48.16690084457397,175.72866859436036,25.008358039855956,0,
color_multi,reach,color,diverse_train,20,2,1580,20,1.0,79.0,79.0,79.0,0.19582257264900124,0.4561692338308953,209.07066558837892,48.18964303970337,175.66665008544922,25.156111850738526,0,
color_multi,reach,color,diverse_train,50,0,3950,50,1.0,79.0,79.0,79.0,0.19582257264900127,0.4561692338308953,209.06738388061524,48.196643886566164,175.65053947448732,25.220018482208253,0,
color_multi,reach,color,diverse_train,50,1,3950,50,1.0,79.0,79.0,79.0,0.19582257264900127,0.4561692338308953,209.07501693725587,48.17705284118652,175.69963623046874,25.07807391166687,0,
color_multi,reach,color,diverse_train,50,2,3950,50,1.0,79.0,79.0,79.0,0.19582257264900127,0.4561692338308953,209.0719285583496,48.18411163330078,175.68112442016601,25.12541703224182,0,
color_red_only,reach,color,fixed_train,5,0,395,5,1.0,79.0,79.0,79.0,0.1958225726490013,0.4470100175569244,209.0592995452881,48.2308717918396,175.59631072998047,25.489797649383544,0,
color_red_only,reach,color,fixed_train,5,1,395,5,1.0,79.0,79.0,79.0,0.1958225726490013,0.4470100175569244,209.0592995452881,48.2308717918396,175.59631072998047,25.489797649383544,0,
color_red_only,reach,color,fixed_train,5,2,395,5,1.0,79.0,79.0,79.0,0.1958225726490013,0.4470100175569244,209.0592995452881,48.2308717918396,175.59631072998047,25.489797649383544,0,
color_red_only,reach,color,fixed_train,20,0,1580,20,1.0,79.0,79.0,79.0,0.19582257264900124,0.4561692338308953,209.0599691772461,48.23042751312256,175.59752174377442,25.494832544326783,0,
color_red_only,reach,color,fixed_train,20,1,1580,20,1.0,79.0,79.0,79.0,0.19582257264900124,0.4561692338308953,209.0599691772461,48.23042751312256,175.59752174377442,25.494832544326783,0,
