family,family_label,split,task,task_label,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
partial_resnet18,Partial ResNet-18,id,avoid_reach,Obstacle-aware reach,20,24,3600,3,8,5,0.001388888888888889,0.1388888888888889,38,0.010555555555555556,1.0555555555555556,209,0.058055555555555555,5.805555555555555,1625,0.4513888888888889,45.13888888888889,0.07924859114049468,0.07924859114049468,0.04717882112850445,0.018875459610376077,0.27725027040578426,0.27725027040578426,0.1745919149006115,0.06985131377124716,400.0,400.0,0.0,0.0,7.924859114049468,27.725027040578425
partial_resnet18,Partial ResNet-18,id,avoid_reach,Obstacle-aware reach,50,24,3600,3,8,27,0.0075,0.75,252,0.07,7.000000000000001,617,0.1713888888888889,17.13888888888889,2158,0.5994444444444444,59.94444444444444,0.046268580282921905,0.046268580282921905,0.022574667806500262,0.009031748148997472,0.31385735523110875,0.31385735523110875,0.10218729928510667,0.04088343443545866,400.0,400.0,0.0,0.0,4.62685802829219,31.385735523110874
partial_resnet18,Partial ResNet-18,id,avoid_reach,Obstacle-aware reach,100,8,1200,1,8,1,0.0008333333333333334,0.08333333333333334,21,0.0175,1.7500000000000002,280,0.23333333333333334,23.333333333333332,887,0.7391666666666666,73.91666666666666,0.04276071805312919,0.04276071805312919,0.026211768708224024,0.018163829012468984,0.3552752092170219,0.3552752092170219,0.22843897499858898,0.15830013334263032,400.0,400.0,0.0,0.0,4.276071805312919,35.52752092170219
partial_resnet18,Partial ResNet-18,id,avoid_reach,Obstacle-aware reach,200,8,1200,1,8,8,0.006666666666666667,0.6666666666666667,29,0.024166666666666666,2.4166666666666665,204,0.17,17.0,406,0.3383333333333333,33.83333333333333,0.10450720682235745,0.10450720682235745,0.11150379222633124,0.07726818585902956,0.5109274869288007,0.5109274869288007,0.3163432963817262,0.2192147202533359,400.0,400.0,0.0,0.0,10.450720682235746,51.09274869288007
partial_resnet18,Partial ResNet-18,id,reach,Reach,5,24,3600,3,8,44,0.012222222222222223,1.2222222222222223,107,0.029722222222222223,2.9722222222222223,443,0.12305555555555556,12.305555555555555,1261,0.3502777777777778,35.02777777777778,0.0683968067627413,0.0683968067627413,0.033583823138398174,0.013436327615821945,0.2562136776853974,0.2562136776853974,0.13019887759200457,0.05209039981330465,400.0,400.0,0.0,0.0,6.8396806762741305,25.621367768539738
partial_resnet18,Partial ResNet-18,id,reach,Reach,20,24,3600,3,8,25,0.006944444444444444,0.6944444444444444,80,0.022222222222222223,2.2222222222222223,278,0.07722222222222222,7.722222222222222,1413,0.3925,39.25,0.0625384560449715,0.0625384560449715,0.03133330441824223,0.012535932604064574,0.24217760744952507,0.24217760744952507,0.18164248010106893,0.0726721273373401,399.9061111111111,399.9061111111111,0.4130102368181487,0.16523850866258274,6.25384560449715,24.217760744952507
partial_resnet18,Partial ResNet-18,id,reach,Reach,50,24,3600,3,8,39,0.010833333333333334,1.0833333333333335,137,0.03805555555555556,3.805555555555556,671,0.18638888888888888,18.63888888888889,2232,0.62,62.0,0.04515408957383544,0.04515408957383544,0.023119708613337335,0.009249809887069265,0.20689520630506902,0.206895206305069,0.10302413494223413,0.041218238427351714,400.0,400.0,0.0,0.0,4.515408957383544,20.6895206305069
partial_resnet18,Partial ResNet-18,id,reach,Reach,100,8,1200,1,8,38,0.03166666666666667,3.166666666666667,149,0.12416666666666666,12.416666666666666,710,0.5916666666666667,59.166666666666664,1138,0.9483333333333334,94.83333333333334,0.02227849287514497,0.02227849287514497,0.012016369589670992,0.008326919293658166,0.15666623625962528,0.15666623625962528,0.1266693899350134,0.08777740889997475,399.6333333333333,399.6333333333333,1.037089945740271,0.7186666666666673,2.227849287514497,15.666623625962528
partial_resnet18,Partial ResNet-18,id,reach,Reach,200,8,1200,1,8,534,0.445,44.5,817,0.6808333333333333,68.08333333333333,1111,0.9258333333333333,92.58333333333333,1200,1.0,100.0,0.008495162500573012,0.00849516250057301,0.0064772206140753215,0.004488484887064874,0.08274937581620179,0.08274937581620179,0.08357962599282688,0.05791772590239205,400.0,400.0,0.0,0.0,0.8495162500573012,8.27493758162018
partial_resnet18,Partial ResNet-18,ood,avoid_reach,Obstacle-aware reach,5,24,3600,3,8,0,0.0,0.0,2,0.0005555555555555556,0.05555555555555555,52,0.014444444444444444,1.4444444444444444,538,0.14944444444444444,14.944444444444443,0.12575057993979297,0.12575057993979297,0.050820947702221245,0.020332613718801507,0.34061150678226515,0.3406115067822652,0.1731364680784392,0.06926901376777451,400.0,400.0,0.0,0.0,12.575057993979296,34.06115067822652
