family,family_label,task,task_label,axis,axis_label,budget,baseline_config,diverse_config,baseline_success_at_1cm_pct,diverse_success_at_1cm_pct,gain_success_at_1cm_pct,baseline_success_at_5cm_pct,diverse_success_at_5cm_pct,gain_success_at_5cm_pct,baseline_nearest_distance_cm,diverse_nearest_distance_cm,gain_nearest_distance_cm
scratch_cnn,Scratch CNN,reach,Reach,lighting_direction_intensity,Lighting,20,lighting_fixed,lighting_diverse,39.111111111111114,47.11111111111111,7.999999999999993,93.77777777777779,100.0,6.222222222222214,2.176122805931502,1.2532912743174367,-0.9228315316140652
scratch_cnn,Scratch CNN,reach,Reach,lighting_direction_intensity,Lighting,50,lighting_fixed,lighting_diverse,47.11111111111111,35.11111111111111,-12.0,91.11111111111111,80.44444444444444,-10.666666666666671,2.0581511054188013,3.9901325946880712,1.93198148926927
scratch_cnn,Scratch CNN,reach,Reach,lighting_direction_intensity,Lighting,100,lighting_fixed,lighting_diverse,22.666666666666664,41.333333333333336,18.66666666666667,41.333333333333336,100.0,58.666666666666664,6.156978273764253,1.0183663442730904,-5.138611929491162
scratch_cnn,Scratch CNN,reach,Reach,lighting_direction_intensity,Lighting,200,lighting_fixed,lighting_diverse,100.0,100.0,0.0,100.0,100.0,0.0,0.22412706787387532,0.5193316855778297,0.2952046177039544
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,5,avoid_lighting_fixed,avoid_lighting_diverse,33.33333333333333,0.0,-33.33333333333333,100.0,100.0,0.0,1.666231120419171,2.0937670982546277,0.4275359778354566
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,20,avoid_lighting_fixed,avoid_lighting_diverse,0.0,0.0,0.0,85.33333333333334,100.0,14.666666666666657,3.9547036894493632,2.0659585448188915,-1.8887451446304717
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,50,avoid_lighting_fixed,avoid_lighting_diverse,0.0,0.0,0.0,93.11111111111111,100.0,6.888888888888886,3.447598081909948,2.072404507961538,-1.37519357394841
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,100,avoid_lighting_fixed,avoid_lighting_diverse,0.0,0.0,0.0,51.33333333333333,100.0,48.66666666666667,8.754299140224854,1.8053125316898029,-6.9489866085350505
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,200,avoid_lighting_fixed,avoid_lighting_diverse,0.0,0.0,0.0,100.0,100.0,0.0,2.1580241670211158,2.189819887280464,0.0317957202593484
frozen_resnet18,Frozen ResNet-18,reach,Reach,color,Color,5,color_red_only,color_multi,8.444444444444445,66.66666666666666,58.222222222222214,100.0,100.0,0.0,1.9359705628206332,0.8432527822959754,-1.0927177805246577
frozen_resnet18,Frozen ResNet-18,reach,Reach,color,Color,20,color_red_only,color_multi,26.0,26.0,0.0,100.0,100.0,0.0,1.5112807264344559,1.2259941599849198,-0.2852865664495361
frozen_resnet18,Frozen ResNet-18,reach,Reach,color,Color,50,color_red_only,color_multi,33.111111111111114,0.0,-33.111111111111114,100.0,100.0,0.0,1.512744665818496,1.631155660168992,0.11841099435049607
frozen_resnet18,Frozen ResNet-18,reach,Reach,color,Color,100,color_red_only,color_multi,46.666666666666664,78.66666666666666,31.999999999999993,100.0,100.0,0.0,1.427776283894976,0.6827713530510664,-0.7450049308439095
frozen_resnet18,Frozen ResNet-18,reach,Reach,color,Color,200,color_red_only,color_multi,25.333333333333336,27.333333333333332,1.9999999999999964,100.0,100.0,0.0,1.1897163788477578,1.0343750603497028,-0.155341318498055
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,color,Color,5,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0,42.0,66.66666666666666,24.666666666666657,5.774998002582126,8.28895680523581,2.5139588026536837
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,color,Color,20,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0,100.0,66.66666666666666,-33.33333333333334,3.8177285864949226,9.44698634246985,5.629257755974928
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,color,Color,50,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0,100.0,90.66666666666666,-9.333333333333343,4.009900391929679,5.560184933245182,1.550284541315503
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,color,Color,100,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0,100.0,100.0,0.0,3.903605592747529,3.7517660434047384,-0.15183954934279065
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,color,Color,200,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0,100.0,100.0,0.0,3.992066986858845,3.7898463209470115,-0.20222066591183374
frozen_resnet18,Frozen ResNet-18,reach,Reach,spatial_distribution,Spatial distribution,5,spatial_narrow,spatial_wide,1.5555555555555556,2.0,0.4444444444444444,13.777777777777779,20.0,6.222222222222221,12.982355436982793,11.537955733119613,-1.44439970386318
frozen_resnet18,Frozen ResNet-18,reach,Reach,spatial_distribution,Spatial distribution,20,spatial_narrow,spatial_wide,3.111111111111111,2.4444444444444446,-0.6666666666666665,23.333333333333332,51.11111111111111,27.777777777777775,10.687526505026552,6.425859661902197,-4.261666843124355
frozen_resnet18,Frozen ResNet-18,reach,Reach,spatial_distribution,Spatial distribution,50,spatial_narrow,spatial_wide,5.333333333333334,17.77777777777778,12.444444444444445,35.77777777777777,74.0,38.22222222222223,9.30980415450823,3.700575971665482,-5.609228182842748
frozen_resnet18,Frozen ResNet-18,reach,Reach,spatial_distribution,Spatial distribution,100,spatial_narrow,spatial_wide,10.0,14.666666666666666,4.666666666666666,39.33333333333333,78.0,38.66666666666667,8.429437758090595,3.3678482146933675,-5.061589543397227
frozen_resnet18,Frozen ResNet-18,reach,Reach,spatial_distribution,Spatial distribution,200,spatial_narrow,spatial_wide,12.666666666666668,40.666666666666664,27.999999999999996,37.333333333333336,84.0,46.666666666666664,7.590651240432635,2.3139981344187013,-5.276653106013933
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,5,avoid_spatial_narrow,avoid_spatial_wide,0.2222222222222222,0.4444444444444444,0.2222222222222222,13.333333333333334,16.88888888888889,3.5555555555555554,14.278389009129668,13.590647249275612,-0.6877417598540561
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,20,avoid_spatial_narrow,avoid_spatial_wide,0.2222222222222222,2.0,1.7777777777777777,13.111111111111112,27.111111111111114,14.000000000000002,15.047115185711945,13.232046184569803,-1.8150690011421418
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,50,avoid_spatial_narrow,avoid_spatial_wide,0.8888888888888888,5.777777777777778,4.888888888888889,22.0,47.333333333333336,25.333333333333336,10.968624223541054,8.209857397040144,-2.75876682650091
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,100,avoid_spatial_narrow,avoid_spatial_wide,0.0,3.3333333333333335,3.3333333333333335,13.333333333333334,27.333333333333332,13.999999999999998,12.346336409449577,12.038087503053248,-0.3082489063963294
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,200,avoid_spatial_narrow,avoid_spatial_wide,1.3333333333333335,6.0,4.666666666666666,18.0,51.33333333333333,33.33333333333333,12.333457571454346,5.7224806633312255,-6.610976908123121
frozen_resnet18,Frozen ResNet-18,reach,Reach,camera_location_viewpoint,Camera viewpoint,5,camera_fixed,camera_multi_pose,3.3333333333333335,13.777777777777779,10.444444444444445,97.11111111111111,98.66666666666667,1.5555555555555571,2.82958354612088,1.9552463084562786,-0.8743372376646015
frozen_resnet18,Frozen ResNet-18,reach,Reach,camera_location_viewpoint,Camera viewpoint,20,camera_fixed,camera_multi_pose,0.2222222222222222,17.11111111111111,16.88888888888889,67.55555555555556,100.0,32.44444444444444,4.224639385938645,1.507433506802449,-2.7172058791361966
frozen_resnet18,Frozen ResNet-18,reach,Reach,camera_location_viewpoint,Camera viewpoint,50,camera_fixed,camera_multi_pose,6.444444444444445,29.333333333333332,22.888888888888886,91.33333333333333,100.0,8.666666666666671,3.052107912591762,1.3410043331095949,-1.7111035794821672
frozen_resnet18,Frozen ResNet-18,reach,Reach,camera_location_viewpoint,Camera viewpoint,100,camera_fixed,camera_multi_pose,0.6666666666666667,52.0,51.333333333333336,91.33333333333333,100.0,8.666666666666671,3.575585457806786,0.9965456305071712,-2.579039827299615
frozen_resnet18,Frozen ResNet-18,reach,Reach,camera_location_viewpoint,Camera viewpoint,200,camera_fixed,camera_multi_pose,6.666666666666667,100.0,93.33333333333333,95.33333333333334,100.0,4.666666666666657,2.5991430836729705,0.40498078404925764,-2.194162299623713
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,5,avoid_camera_fixed,avoid_camera_multi_pose,0.4444444444444444,0.0,-0.4444444444444444,35.11111111111111,55.111111111111114,20.000000000000007,5.5820570407021375,5.721787609573868,0.1397305688717303
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,20,avoid_camera_fixed,avoid_camera_multi_pose,0.0,0.0,0.0,57.55555555555556,70.44444444444444,12.888888888888886,6.3553904580573235,8.30200540026029,1.9466149422029666
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,50,avoid_camera_fixed,avoid_camera_multi_pose,0.2222222222222222,0.0,-0.2222222222222222,54.44444444444444,96.66666666666667,42.22222222222223,7.321077222314974,4.158683224684663,-3.1623939976303115
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,100,avoid_camera_fixed,avoid_camera_multi_pose,0.0,0.0,0.0,91.33333333333333,99.33333333333333,8.0,4.443944543600082,4.146711012969415,-0.2972335306306677
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,200,avoid_camera_fixed,avoid_camera_multi_pose,0.0,0.0,0.0,88.0,100.0,12.0,5.076445321242015,3.9126434375842414,-1.1638018836577735
frozen_resnet18,Frozen ResNet-18,reach,Reach,lighting_direction_intensity,Lighting,5,lighting_fixed,lighting_diverse,0.0,16.444444444444446,16.444444444444446,52.888888888888886,100.0,47.111111111111114,5.587880705793698,2.114365112864309,-3.4735155929293895
frozen_resnet18,Frozen ResNet-18,reach,Reach,lighting_direction_intensity,Lighting,20,lighting_fixed,lighting_diverse,0.0,0.0,0.0,49.77777777777778,100.0,50.22222222222222,5.248697284195158,2.4279991595281496,-2.8206981246670084
frozen_resnet18,Frozen ResNet-18,reach,Reach,lighting_direction_intensity,Lighting,50,lighting_fixed,lighting_diverse,8.88888888888889,0.0,-8.88888888888889,45.33333333333333,100.0,54.66666666666667,4.006896648142073,2.7692878031068378,-1.237608845035235
frozen_resnet18,Frozen ResNet-18,reach,Reach,lighting_direction_intensity,Lighting,100,lighting_fixed,lighting_diverse,0.0,0.0,0.0,58.666666666666664,100.0,41.333333333333336,3.587627410888672,2.988221255441507,-0.599406155447165
frozen_resnet18,Frozen ResNet-18,reach,Reach,lighting_direction_intensity,Lighting,200,lighting_fixed,lighting_diverse,0.0,0.0,0.0,81.33333333333333,100.0,18.66666666666667,2.9696424901485443,3.092780997355779,0.12313850720723485
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,5,avoid_lighting_fixed,avoid_lighting_diverse,0.0,9.333333333333334,9.333333333333334,58.88888888888889,65.77777777777779,6.888888888888893,6.270780836128527,5.242601055858864,-1.0281797802696628
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,20,avoid_lighting_fixed,avoid_lighting_diverse,0.0,0.0,0.0,24.0,85.33333333333334,61.33333333333334,6.99097372012006,3.6734940976732307,-3.3174796224468293
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,50,avoid_lighting_fixed,avoid_lighting_diverse,0.0,28.000000000000004,28.000000000000004,26.444444444444443,93.11111111111111,66.66666666666667,6.578904223938784,2.6386528056528835,-3.9402514182859
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,100,avoid_lighting_fixed,avoid_lighting_diverse,0.0,0.0,0.0,51.33333333333333,100.0,48.66666666666667,6.54045165826877,3.918652263780435,-2.621799394488335
frozen_resnet18,Frozen ResNet-18,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,200,avoid_lighting_fixed,avoid_lighting_diverse,0.0,0.0,0.0,51.33333333333333,79.33333333333333,28.0,7.374112772444883,4.278996740778288,-3.0951160316665955
partial_resnet18,Partial ResNet-18,reach,Reach,color,Color,5,color_red_only,color_multi,0.0,0.0,0.0,25.333333333333336,51.11111111111111,25.77777777777777,7.7327214967873354,5.518734040359656,-2.213987456427679
partial_resnet18,Partial ResNet-18,reach,Reach,color,Color,20,color_red_only,color_multi,0.0,0.0,0.0,40.44444444444444,48.888888888888886,8.444444444444443,6.41884437782897,4.996574131978883,-1.422270245850087
partial_resnet18,Partial ResNet-18,reach,Reach,color,Color,50,color_red_only,color_multi,0.0,8.666666666666668,8.666666666666668,41.77777777777778,42.44444444444444,0.6666666666666643,5.400286299900876,4.196875822937323,-1.203410476963553
partial_resnet18,Partial ResNet-18,reach,Reach,color,Color,100,color_red_only,color_multi,0.0,0.0,0.0,100.0,100.0,0.0,1.9051956404000523,3.051937443514665,1.1467418031146128
partial_resnet18,Partial ResNet-18,reach,Reach,color,Color,200,color_red_only,color_multi,74.66666666666667,100.0,25.33333333333333,100.0,100.0,0.0,1.2567217561105888,0.3180547140849133,-0.9386670420256755
partial_resnet18,Partial ResNet-18,avoid_reach,Obstacle-aware reach,color,Color,5,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0,7.430123673131068,11.548126349846521,4.118002676715453
partial_resnet18,Partial ResNet-18,avoid_reach,Obstacle-aware reach,color,Color,20,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0,24.0,33.33333333333333,9.333333333333329,11.608307915429274,10.568153364790811,-1.0401545506384622
partial_resnet18,Partial ResNet-18,avoid_reach,Obstacle-aware reach,color,Color,50,avoid_color_red_only,avoid_color_multi,0.0,25.555555555555554,25.555555555555554,75.33333333333333,76.0,0.6666666666666714,4.13391982888182,3.6949007453189955,-0.43901908356282426
partial_resnet18,Partial ResNet-18,avoid_reach,Obstacle-aware reach,color,Color,100,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0,74.0,100.0,26.0,4.847780016561349,2.1402226835489273,-2.7075573330124216
partial_resnet18,Partial ResNet-18,avoid_reach,Obstacle-aware reach,color,Color,200,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0,0.0,0.0,0.0,9.5726674447457,7.648227905233701,-1.924439539512
partial_resnet18,Partial ResNet-18,reach,Reach,spatial_distribution,Spatial distribution,5,spatial_narrow,spatial_wide,0.4444444444444444,0.6666666666666667,0.22222222222222232,9.777777777777779,13.555555555555557,3.7777777777777786,13.816934355120692,12.719146310248309,-1.0977880448723827
