family,family_label,split,task,task_label,axis,axis_label,train_config,variant,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,avoid_spatial_narrow,narrow_train,50,3,450,3,1,5,0.011111111111111112,1.1111111111111112,23,0.051111111111111114,5.111111111111112,72,0.16,16.0,292,0.6488888888888888,64.88888888888889,0.047746984413824974,0.047746984413824974,0.015379389282563792,0.017403417302830092,0.18939409544898403,0.18939409544898403,0.017827054039768458,0.020173210719487918,400.0,400.0,0.0,0.0,4.7746984413824975,18.939409544898403
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,avoid_spatial_narrow,narrow_train,100,1,150,1,1,4,0.02666666666666667,2.666666666666667,10,0.06666666666666667,6.666666666666667,27,0.18,18.0,92,0.6133333333333333,61.33333333333333,0.045380709014522534,0.045380709014522534,0.0,0.0,0.1351038391639789,0.1351038391639789,0.0,0.0,400.0,400.0,0.0,0.0,4.538070901452254,13.510383916397888
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,avoid_spatial_narrow,narrow_train,200,1,150,1,1,4,0.02666666666666667,2.666666666666667,12,0.08,8.0,23,0.15333333333333332,15.333333333333332,60,0.4,40.0,0.05828248325735331,0.05828248325735331,0.0,0.0,0.15990156094233196,0.15990156094233196,0.0,0.0,400.0,400.0,0.0,0.0,5.828248325735331,15.990156094233196
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,avoid_spatial_wide,wide_train,5,3,450,3,1,0,0.0,0.0,3,0.006666666666666667,0.6666666666666667,27,0.06,6.0,94,0.2088888888888889,20.88888888888889,0.12056009714284704,0.12056009714284706,0.013299678600120414,0.015050003119033453,0.28892241481277675,0.28892241481277675,0.034673906605291654,0.03923721905234532,400.0,400.0,0.0,0.0,12.056009714284704,28.892241481277676
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,avoid_spatial_wide,wide_train,20,3,450,3,1,15,0.03333333333333333,3.3333333333333335,34,0.07555555555555556,7.555555555555555,95,0.2111111111111111,21.11111111111111,178,0.39555555555555555,39.55555555555556,0.10827426361696174,0.10827426361696174,0.07814358192316792,0.08842778739521384,0.2970278266320626,0.29702782663206256,0.07818412113592649,0.08847366183299567,400.0,400.0,0.0,0.0,10.827426361696174,29.70278266320626
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,avoid_spatial_wide,wide_train,50,3,450,3,1,8,0.017777777777777778,1.7777777777777777,32,0.07111111111111111,7.111111111111111,108,0.24,24.0,293,0.6511111111111111,65.11111111111111,0.054071059070217115,0.054071059070217115,0.010071899670011847,0.011397427412035196,0.20221776152650514,0.20221776152650514,0.06939649611216332,0.07852952799390166,400.0,400.0,0.0,0.0,5.407105907021712,20.221776152650513
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,avoid_spatial_wide,wide_train,100,1,150,1,1,2,0.013333333333333334,1.3333333333333335,8,0.05333333333333334,5.333333333333334,23,0.15333333333333332,15.333333333333332,58,0.38666666666666666,38.666666666666664,0.08646881937049329,0.08646881937049329,0.0,0.0,0.17202998097985983,0.17202998097985983,0.0,0.0,400.0,400.0,0.0,0.0,8.64688193704933,17.202998097985983
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,avoid_spatial_wide,wide_train,200,1,150,1,1,4,0.02666666666666667,2.666666666666667,19,0.12666666666666668,12.666666666666668,42,0.28,28.000000000000004,106,0.7066666666666667,70.66666666666667,0.04084539722496023,0.04084539722496023,0.0,0.0,0.29736290872097015,0.29736290872097015,0.0,0.0,400.0,400.0,0.0,0.0,4.084539722496023,29.736290872097015
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,camera_location_viewpoint,Camera viewpoint,camera_fixed,fixed_train,5,3,450,3,1,0,0.0,0.0,150,0.3333333333333333,33.33333333333333,300,0.6666666666666666,66.66666666666666,450,1.0,100.0,0.015939108716944855,0.015939108716944855,0.0070420385252603765,0.007968816762877475,0.2967691620190938,0.2967691620190938,0.026800659469859028,0.030327801200389904,400.0,400.0,0.0,0.0,1.5939108716944854,29.676916201909382
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,camera_location_viewpoint,Camera viewpoint,camera_fixed,fixed_train,20,3,450,3,1,0,0.0,0.0,300,0.6666666666666666,66.66666666666666,450,1.0,100.0,450,1.0,100.0,0.009611300503214201,0.009611300503214201,0.002797408413231466,0.0031655656208085213,0.3392213483651479,0.3392213483651479,0.0034714922181932144,0.003928363254660545,400.0,400.0,0.0,0.0,0.9611300503214201,33.922134836514786
