family,family_label,axis,axis_label,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
partial_resnet18,Partial ResNet-18,lighting_direction_intensity,Lighting,5,12,1800,3,4,0,0.0,0.0,0,0.0,0.0,105,0.058333333333333334,5.833333333333333,442,0.24555555555555555,24.555555555555557,0.11462143457287716,0.11462143457287716,0.057023985922487856,0.03226435735016152,0.3235672585521307,0.3235672585521307,0.16139787785791473,0.09131944606334338,400.0,400.0,0.0,0.0,11.462143457287716,32.35672585521307
partial_resnet18,Partial ResNet-18,lighting_direction_intensity,Lighting,20,12,1800,3,4,0,0.0,0.0,40,0.022222222222222223,2.2222222222222223,102,0.056666666666666664,5.666666666666666,759,0.4216666666666667,42.16666666666667,0.08767679415229294,0.08767679415229294,0.04795352581229965,0.027132261415596413,0.3157410266664293,0.3157410266664293,0.1816856533885705,0.10279833567394855,400.0,400.0,0.0,0.0,8.767679415229294,31.57410266664293
partial_resnet18,Partial ResNet-18,lighting_direction_intensity,Lighting,50,12,1800,3,4,0,0.0,0.0,34,0.01888888888888889,1.8888888888888888,190,0.10555555555555556,10.555555555555555,1098,0.61,61.0,0.06149004376803835,0.06149004376803835,0.04010902774841159,0.02269381880813001,0.28013614375972085,0.28013614375972085,0.09675256734753973,0.05474291838683167,400.0,400.0,0.0,0.0,6.149004376803835,28.013614375972086
partial_resnet18,Partial ResNet-18,lighting_direction_intensity,Lighting,100,4,600,1,4,0,0.0,0.0,102,0.17,17.0,223,0.37166666666666665,37.166666666666664,470,0.7833333333333333,78.33333333333333,0.030539763004829485,0.030539763004829485,0.016363788374530033,0.016036512607039432,0.20254007572929064,0.20254007572929064,0.1121821966333099,0.1099385527006437,400.0,400.0,0.0,0.0,3.0539763004829483,20.254007572929066
partial_resnet18,Partial ResNet-18,lighting_direction_intensity,Lighting,200,4,600,1,4,110,0.18333333333333332,18.333333333333332,150,0.25,25.0,224,0.37333333333333335,37.333333333333336,373,0.6216666666666667,62.16666666666667,0.058887771096390984,0.058887771096390984,0.06821264718397595,0.06684839424029643,0.16525619989881912,0.16525619989881912,0.15646171533157777,0.1533324810249462,400.0,400.0,0.0,0.0,5.888777109639099,16.52561998988191
partial_resnet18,Partial ResNet-18,spatial_distribution,Spatial distribution,5,12,1800,3,4,0,0.0,0.0,7,0.0038888888888888888,0.3888888888888889,44,0.024444444444444446,2.4444444444444446,206,0.11444444444444445,11.444444444444445,0.14198425394198338,0.1419842539419834,0.02324482541574749,0.013151998086826716,0.289240133676471,0.289240133676471,0.10192241924842543,0.05766803746574559,400.0,400.0,0.0,0.0,14.198425394198338,28.9240133676471
partial_resnet18,Partial ResNet-18,spatial_distribution,Spatial distribution,20,12,1800,3,4,1,0.0005555555555555556,0.05555555555555555,11,0.006111111111111111,0.6111111111111112,75,0.041666666666666664,4.166666666666666,328,0.18222222222222223,18.22222222222222,0.12042963515566145,0.12042963515566145,0.026109252465382746,0.014772700260444055,0.22290361835000416,0.22290361835000416,0.03883547084445191,0.02197323615522717,400.0,400.0,0.0,0.0,12.042963515566145,22.290361835000418
partial_resnet18,Partial ResNet-18,spatial_distribution,Spatial distribution,50,12,1800,3,4,14,0.0077777777777777776,0.7777777777777778,61,0.03388888888888889,3.3888888888888893,210,0.11666666666666667,11.666666666666666,573,0.31833333333333336,31.833333333333336,0.08865630445908108,0.08865630445908108,0.0321666957752899,0.018200021455508333,0.26629972260390383,0.26629972260390383,0.16031942469453345,0.09070925374364053,399.9277777777778,399.92777777777775,0.25018511664884,0.1415555555555568,8.865630445908108,26.62997226039038
partial_resnet18,Partial ResNet-18,spatial_distribution,Spatial distribution,100,4,600,1,4,4,0.006666666666666667,0.6666666666666667,15,0.025,2.5,68,0.11333333333333333,11.333333333333332,209,0.34833333333333333,34.833333333333336,0.08894606384584525,0.08894606384584525,0.031333963704400496,0.030707284430312485,0.24384774742201748,0.24384774742201748,0.10063112339250779,0.09861850092465764,400.0,400.0,0.0,0.0,8.894606384584524,24.38477474220175
partial_resnet18,Partial ResNet-18,spatial_distribution,Spatial distribution,200,4,600,1,4,9,0.015,1.5,38,0.06333333333333334,6.333333333333334,97,0.16166666666666665,16.166666666666664,208,0.3466666666666667,34.66666666666667,0.15023092583791975,0.15023092583791972,0.15319983765682496,0.15013584090368845,0.3765293660887983,0.3765293660887983,0.41662988949950314,0.40829729170951307,400.0,400.0,0.0,0.0,15.023092583791975,37.65293660887983
