family,family_label,split,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
scratch_cnn,Scratch CNN,id,5,48,7200,3,16,311,0.043194444444444445,4.319444444444445,1396,0.1938888888888889,19.38888888888889,3946,0.5480555555555555,54.80555555555555,6079,0.8443055555555555,84.43055555555556,0.03183325540292976,0.03183325540292976,0.0292743829247486,0.008281770702362256,0.38701475763359566,0.38701475763359566,0.15108963205549145,0.042743503472109756,399.96166666666664,399.96166666666664,0.2655811238272242,0.0751333333333323,3.1833255402929757,38.70147576335957
scratch_cnn,Scratch CNN,id,20,48,7200,3,16,317,0.04402777777777778,4.402777777777778,1961,0.2723611111111111,27.23611111111111,4799,0.6665277777777778,66.65277777777779,6317,0.8773611111111111,87.73611111111111,0.026052630880739242,0.026052630880739242,0.02357657887305641,0.0066698526378754855,0.4701858829260891,0.47018588292608915,0.3988421435649687,0.112833093286187,399.9602777777778,399.9602777777778,0.2752036283137257,0.07785555555555672,2.605263088073924,47.01858829260891
scratch_cnn,Scratch CNN,id,50,48,7200,3,16,1861,0.2584722222222222,25.84722222222222,2836,0.3938888888888889,39.38888888888889,4629,0.6429166666666667,64.29166666666667,6269,0.8706944444444444,87.06944444444444,0.02681014140443747,0.02681014140443747,0.03681960997653547,0.010416327748390795,0.39517578305773593,0.3951757830577359,0.3986538304684939,0.11277981920388559,394.23569444444445,394.2356944444444,39.68839756354913,11.22791243833979,2.681014140443747,39.51757830577359
scratch_cnn,Scratch CNN,id,100,16,2400,1,16,737,0.3070833333333333,30.708333333333332,1068,0.445,44.5,1768,0.7366666666666667,73.66666666666667,2272,0.9466666666666667,94.66666666666667,0.01757037271655766,0.01757037271655766,0.015972003215223775,0.00782628157545965,0.4412005581492607,0.4412005581492607,0.43912749048181104,0.2151724703360874,399.46708333333333,399.46708333333333,1.7310762548195233,0.8482273648615664,1.757037271655766,44.12005581492607
scratch_cnn,Scratch CNN,id,200,16,2400,1,16,872,0.36333333333333334,36.333333333333336,1031,0.4295833333333333,42.95833333333333,1847,0.7695833333333333,76.95833333333333,2310,0.9625,96.25,0.01451125810721957,0.01451125810721957,0.01469643048346568,0.007201250936898183,0.3559768357312593,0.35597683573125927,0.39717232127721314,0.19461443742583442,365.1116666666667,365.1116666666667,94.32463304990908,46.21907019445545,1.4511258107219571,35.597683573125934
scratch_cnn,Scratch CNN,ood,5,48,7200,3,16,346,0.04805555555555555,4.805555555555555,1556,0.21611111111111111,21.61111111111111,3692,0.5127777777777778,51.27777777777778,5715,0.79375,79.375,0.04544383869005186,0.04544383869005186,0.05006076737369757,0.014162272784331329,0.394862181765493,0.394862181765493,0.14487096165111693,0.040984231466445836,400.0,400.0,0.0,0.0,4.544383869005186,39.4862181765493
scratch_cnn,Scratch CNN,ood,20,48,7200,3,16,346,0.04805555555555555,4.805555555555555,1881,0.26125,26.125,4174,0.5797222222222222,57.97222222222223,5758,0.7997222222222222,79.97222222222223,0.04187410806438291,0.04187410806438291,0.04566630672336428,0.01291907269501889,0.4635875798567334,0.46358757985673343,0.36404300984614896,0.1029883615683251,399.92847222222224,399.9284722222222,0.34829877553192345,0.0985342919877688,4.187410806438291,46.358757985673336
scratch_cnn,Scratch CNN,ood,50,48,7200,3,16,1161,0.16125,16.125,2205,0.30625,30.625000000000004,3936,0.5466666666666666,54.666666666666664,5653,0.7851388888888889,78.5138888888889,0.04435306763297073,0.04435306763297073,0.050421035771546274,0.014264193302005776,0.40418528589856173,0.40418528589856173,0.37174366296235006,0.10516688890161666,395.52791666666667,395.52791666666667,22.28259534124883,6.303782585071621,4.435306763297072,40.41852858985617
scratch_cnn,Scratch CNN,ood,100,16,2400,1,16,580,0.24166666666666667,24.166666666666668,756,0.315,31.5,1416,0.59,59.0,1867,0.7779166666666667,77.79166666666667,0.04094662136270927,0.04094662136270927,0.042228485527442426,0.020691957908446787,0.4096320233099565,0.4096320233099565,0.40240788784525217,0.19717986504417356,372.9533333333333,372.9533333333333,73.78725458545846,36.15575474687464,4.094662136270927,40.96320233099565
scratch_cnn,Scratch CNN,ood,200,16,2400,1,16,700,0.2916666666666667,29.166666666666668,1043,0.4345833333333333,43.45833333333333,1528,0.6366666666666667,63.66666666666667,2078,0.8658333333333333,86.58333333333333,0.030283757027524796,0.030283757027524796,0.039250854089128366,0.0192329185036729,0.3730050555892376,0.37300505558923763,0.3852784030263774,0.1887864174829249,391.11291666666665,391.11291666666665,35.54833333333333,17.418683333333334,3.02837570275248,37.30050555892376
