family,family_label,task,task_label,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,5,24,3600,3,8,3,0.0008333333333333334,0.08333333333333334,475,0.13194444444444445,13.194444444444445,1565,0.43472222222222223,43.47222222222222,2899,0.8052777777777778,80.52777777777777,0.04569893407855286,0.04569893407855286,0.046574586262932406,0.018633715316485795,0.5161302994574524,0.5161302994574524,0.07955966780340222,0.03183049640319957,400.0,400.0,0.0,0.0,4.569893407855286,51.61302994574524
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,20,24,3600,3,8,3,0.0008333333333333334,0.08333333333333334,318,0.08833333333333333,8.833333333333334,1656,0.46,46.0,2886,0.8016666666666666,80.16666666666666,0.044163144300756456,0.044163144300756456,0.042404721177697106,0.01696542182982378,0.7610531084477488,0.7610531084477489,0.2779853310538521,0.11121729545323082,400.0,400.0,0.0,0.0,4.416314430075645,76.10531084477488
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,50,24,3600,3,8,24,0.006666666666666667,0.6666666666666667,153,0.0425,4.25,1418,0.3938888888888889,39.38888888888889,2746,0.7627777777777778,76.27777777777777,0.05249668208448889,0.052496682084488884,0.0537108334838272,0.021488808830178435,0.7107234229920949,0.7107234229920949,0.2786106844373654,0.11146748891399082,400.0,400.0,0.0,0.0,5.249668208448889,71.0723422992095
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,100,8,1200,1,8,7,0.005833333333333334,0.5833333333333334,22,0.018333333333333333,1.8333333333333333,509,0.4241666666666667,42.41666666666667,926,0.7716666666666666,77.16666666666666,0.046634875942836516,0.046634875942836516,0.03853160979015432,0.026701043321199037,0.7115220522880554,0.7115220522880554,0.363577074536677,0.25194605859107405,400.0,400.0,0.0,0.0,4.663487594283652,71.15220522880554
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,200,8,1200,1,8,24,0.02,2.0,114,0.095,9.5,551,0.45916666666666667,45.916666666666664,1043,0.8691666666666666,86.91666666666666,0.0335822665275191,0.0335822665275191,0.03325460140569152,0.023044263076427762,0.6774262376719465,0.6774262376719465,0.3162453091243013,0.2191468185482248,400.0,400.0,0.0,0.0,3.3582266527519096,67.74262376719466
scratch_cnn,Scratch CNN,reach,Reach,5,24,3600,3,8,343,0.09527777777777778,9.527777777777779,1081,0.30027777777777775,30.027777777777775,2127,0.5908333333333333,59.08333333333333,2816,0.7822222222222223,78.22222222222223,0.04518874330155086,0.045188743301550864,0.054330405734982115,0.02173668935628422,0.27359406407353365,0.27359406407353365,0.07659806081199917,0.030645606831758772,400.0,400.0,0.0,0.0,4.518874330155086,27.359406407353365
scratch_cnn,Scratch CNN,reach,Reach,20,24,3600,3,8,343,0.09527777777777778,9.527777777777779,1563,0.43416666666666665,43.416666666666664,2518,0.6994444444444444,69.94444444444444,2872,0.7977777777777778,79.77777777777779,0.039585071828009355,0.039585071828009355,0.049521690508974925,0.019812802581346135,0.16612205126571805,0.16612205126571805,0.09420692759907938,0.03769062079933353,399.8569444444444,399.8569444444445,0.4870535653532882,0.19486200971141313,3.9585071828009353,16.612205126571805
scratch_cnn,Scratch CNN,reach,Reach,50,24,3600,3,8,1137,0.31583333333333335,31.583333333333336,2052,0.57,56.99999999999999,2518,0.6994444444444444,69.94444444444444,2907,0.8075,80.75,0.03620945318145257,0.03620945318145257,0.04660298571968065,0.018645077465560017,0.09764714880502853,0.09764714880502855,0.09310752760419418,0.03725076919425463,391.05583333333334,391.05583333333334,31.19098475056767,12.4789928782576,3.620945318145257,9.764714880502853
scratch_cnn,Scratch CNN,reach,Reach,100,8,1200,1,8,573,0.4775,47.75,734,0.6116666666666667,61.16666666666667,907,0.7558333333333334,75.58333333333334,941,0.7841666666666667,78.41666666666667,0.03525836678258201,0.03525836678258201,0.04756676561166087,0.032962086872654145,0.10774199433185762,0.10774199433185762,0.0805890506194933,0.055845362898781045,345.9066666666667,345.9066666666667,99.97430330157306,69.2786576527641,3.525836678258201,10.774199433185762
scratch_cnn,Scratch CNN,reach,Reach,200,8,1200,1,8,676,0.5633333333333334,56.333333333333336,929,0.7741666666666667,77.41666666666667,977,0.8141666666666667,81.41666666666667,1035,0.8625,86.25,0.026985247527530495,0.026985247527530495,0.04658982255444989,0.032285099873278884,0.06858387350652871,0.06858387350652871,0.07906412511944302,0.054788643440129015,382.22583333333336,382.22583333333336,50.27293511975957,34.83736666666666,2.6985247527530496,6.858387350652871
