split,budget,axis,task,train_config,variant,eval_config,n_models,rollouts_total,success_rate_at_0p5cm_mean,success_rate_at_0p5cm_std,success_rate_at_0p5cm_ci95,success_rate_at_1cm_mean,success_rate_at_1cm_std,success_rate_at_1cm_ci95,success_rate_at_2cm_mean,success_rate_at_2cm_std,success_rate_at_2cm_ci95,success_rate_at_5cm_mean,success_rate_at_5cm_std,success_rate_at_5cm_ci95,mean_best_distance_mean,mean_best_distance_std,mean_best_distance_ci95,mean_final_distance_mean,mean_final_distance_std,mean_final_distance_ci95,mean_steps_mean,mean_steps_std,mean_steps_ci95,mean_success_steps_mean,mean_success_steps_std,mean_success_steps_ci95
id,20,color,avoid_reach,avoid_color_multi,diverse_train,avoid_color_multi,3,450,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.0188645983984073,0.006289133545771923,0.007116824573417014,0.8687561841805777,0.23208984037885133,0.26263437836505793,400.0,0.0,0.0,134.42,10.953045238653953,12.394537489286698
id,20,color,avoid_reach,avoid_color_red_only,fixed_train,avoid_color_red_only,3,450,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.014711497661968073,0.00028584048849414307,0.00032345896263567977,0.9647542238235474,0.17431349099328378,0.19725428425877736,400.0,0.0,0.0,148.33333333333334,22.300971578236975,25.23592501001521
id,20,color,reach,color_multi,diverse_train,color_multi,3,450,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.5977777777777779,0.5279029091428474,0.5973783779312347,0.9044444444444445,0.1655070771676927,0.18728888888888887,1.0,0.0,0.0,0.011112298101393714,0.007838892277170828,0.00887054167009119,0.2188079038924641,0.050210442730661574,0.05681846474828839,400.0,0.0,0.0,77.59777777777778,2.1661059103411375,2.4511795876402425
id,20,color,reach,color_red_only,fixed_train,color_red_only,3,450,0.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.008247703469047943,0.0017476642218436065,0.0019776682415115886,0.07379141201575597,0.0799358099935963,0.09045588437867946,400.0,0.0,0.0,78.66666666666667,1.1547005383792515,1.3066666666666666
id,20,lighting_direction_intensity,avoid_reach,avoid_lighting_diverse,diverse_train,avoid_lighting_diverse,3,450,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.020701661590072844,0.005228530019049287,0.005916638699369724,0.8626363530423906,0.2665359203345634,0.30161378729357513,400.0,0.0,0.0,130.32,11.070989115702353,12.528003550446495
id,20,lighting_direction_intensity,avoid_reach,avoid_lighting_fixed,fixed_train,avoid_lighting_fixed,3,450,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.02158987397948901,0.005176248084286147,0.005857476120715588,0.8150175015131632,0.26005824222266055,0.2942836044583786,400.0,0.0,0.0,134.0,13.0,14.710884858951665
id,20,lighting_direction_intensity,reach,lighting_diverse,diverse_train,lighting_diverse,3,450,0.0,0.0,0.0,0.62,0.5414794548272354,0.612741685650106,1.0,0.0,0.0,1.0,0.0,0.0,0.01027470915267865,0.0018056771297494528,0.002043316026783579,0.09046705743918816,0.06426138867588424,0.07271860689902104,400.0,0.0,0.0,78.70222222222223,0.9042205565097573,1.023221884147095
id,20,lighting_direction_intensity,reach,lighting_fixed,fixed_train,lighting_fixed,3,450,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.010770913368711868,0.005692431081890041,0.006441592170246312,0.19954334696133932,0.05000973557617727,0.05659134322213559,400.0,0.0,0.0,78.0,0.0,0.0
id,20,spatial_distribution,avoid_reach,avoid_spatial_narrow,narrow_train,avoid_spatial_narrow,3,450,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.041633319989322654,0.04711253666606279,0.46222222222222226,0.06677768533918542,0.07556606462862012,0.061584960458179315,0.008218097375204878,0.009299652634330142,0.3237976338466008,0.08134709075966624,0.09205289890585701,400.0,0.0,0.0,126.0833931459817,2.4826680493069238,2.8094033704886376
id,20,spatial_distribution,avoid_reach,avoid_spatial_wide,wide_train,avoid_spatial_wide,3,450,0.0,0.0,0.0,0.011111111111111112,0.01387777332977422,0.0157041788886876,0.14666666666666667,0.043716256828679995,0.049469601590082374,0.48666666666666664,0.033333333333333354,0.03772021758705557,0.06585250249649915,0.00680223752586392,0.007697456386632644,0.49002262069947183,0.07322060328236192,0.08285691262998497,400.0,0.0,0.0,143.2406316934923,8.98613967330832,10.168774312345864
id,20,spatial_distribution,reach,spatial_narrow,narrow_train,spatial_narrow,3,450,0.015555555555555557,0.01387777332977422,0.0157041788886876,0.044444444444444446,0.027755546659548436,0.0314083577773752,0.34,0.1642491332633989,0.1858653913554207,0.6244444444444445,0.13238552007650206,0.14980831867983505,0.04487996587879025,0.012046549520468361,0.01363195407255919,0.1392885985043055,0.02622238847722955,0.029673425970401908,399.3644444444444,1.1008145132549025,1.2456888888889073,106.57899991828565,19.850302366676363,22.462731733196286
id,20,spatial_distribution,reach,spatial_wide,wide_train,spatial_wide,3,450,0.022222222222222223,0.01018350154434631,0.011523716821525773,0.06222222222222223,0.02341256389522831,0.02649381013196558,0.24,0.0819213715162967,0.0927027587587418,0.46444444444444444,0.10631887745693944,0.12031113573861753,0.077910936392792,0.021832850745814442,0.024706196420334864,0.21728849190804692,0.037726856238185655,0.04269195678539781,400.0,0.0,0.0,104.45423481869265,8.554922524860078,9.680806172343745
id,50,camera_location_viewpoint,avoid_reach,avoid_camera_fixed,fixed_train,avoid_camera_fixed,3,450,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.016983421829839546,0.0036836329672339453,0.004168423111047465,0.8760658502578735,0.14364169121518225,0.16254587541627963,400.0,0.0,0.0,144.66666666666666,4.932882862316247,5.582082446940786
id,50,camera_location_viewpoint,avoid_reach,avoid_camera_multi_pose,diverse_train,avoid_camera_multi_pose,3,450,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.6666666666666666,0.5773502691896257,0.6533333333333333,0.08528212074190378,0.109091133657955,0.12344823895189867,0.8715126399199168,0.34398201070801443,0.3892522886981753,400.0,0.0,0.0,155.0,15.556349186104045,21.56
id,50,camera_location_viewpoint,reach,camera_fixed,fixed_train,camera_fixed,3,450,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.004066273725281159,0.0028303555660452425,0.0032028488339988096,0.025055749341845512,0.0026535884551018313,0.00300281801738819,400.0,0.0,0.0,78.33333333333333,0.5773502691896257,0.6533333333333333
id,50,camera_location_viewpoint,reach,camera_multi_pose,diverse_train,camera_multi_pose,3,450,0.4066666666666667,0.5254839039716948,0.5946410158892319,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.00527160129406386,0.0010763306506624245,0.001217982790158112,0.02176578328427341,0.0012695078250119366,0.0014365833416375969,400.0,0.0,0.0,78.66666666666667,0.5773502691896257,0.6533333333333333
id,50,color,avoid_reach,avoid_color_multi,diverse_train,avoid_color_multi,3,450,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.01730239705286092,0.003353581010158639,0.0037949341619700427,0.9686204722192553,0.05850222477481907,0.06620149943499022,400.0,0.0,0.0,140.66666666666666,14.46835627614047,16.37248640589178
id,50,color,avoid_reach,avoid_color_red_only,fixed_train,avoid_color_red_only,3,450,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.0181140440205733,0.0023260537407818914,0.0026321775966443237,0.8727632164955139,0.18852726512809945,0.21333868385173266,400.0,0.0,0.0,148.33333333333334,1.1547005383792515,1.3066666666666666
id,50,color,reach,color_multi,diverse_train,color_multi,3,450,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.003337845698568142,0.0015990423897498537,0.0018094868061686931,0.05496768975837363,0.05736021664083461,0.06490919557598779,400.0,0.0,0.0,78.66666666666667,0.5773502691896257,0.6533333333333333
id,50,color,reach,color_red_only,fixed_train,color_red_only,3,450,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0037275206802102425,0.0025642066226509524,0.002901672952336883,0.01133980262481297,0.010505827363539588,0.011888462822542661,308.3333333333333,158.77132402714707,179.66666666666666,79.0,1.0,1.1316065276116665
